Rank,Name,Year
306,Incident in a Ghostland,2018
307,Escape Room,2019
308,Ghost Stories,2017
309,A Cure for Wellness,2016
310,The Babysitter,2017
311,Tale of Tales,2015
312,The Purge: Anarchy,2014
313,Creep,2014
314,Alien: Covenant,2017
315,Kill List,2011
316,John Dies at the End,2012
317,The Woman in Black,2012
318,The Voices,2014
319,Under the Skin,2013
320,Fright Night,2011
321,Black Death,2010
322,The House of the Devil,2009
323,Freaky,2020
324,The Collector,2009
325,Them,2006
326,The Hills Have Eyes,2006
327,Daybreakers,2009
328,Night Watch,2004
329,Mindhunters,2004
330,The Mothman Prophecies,2002
331,Session 9,2001
332,The Cell,2000
333,The Craft,1996
334,Screamers,1995
335,Mary Shelley's Frankenstein,1994
336,The People Under the Stairs,1991
337,Gremlins 2: The New Batch,1990
338,Arachnophobia,1990
339,Silver Bullet,1985
340,Friday the 13th,1980
341,The Blob,1958
342,The Conjuring: The Devil Made Me Do It,2021
343,Haunt,2019
344,Apostle,2018
345,The Ritual,2017
346,Hotel Transylvania 3: Summer Vacation,2018
347,The Bar,2017
348,Lights Out,2016
349,The Shallows,2016
350,Cargo,2017
351,Malignant,2021
352,The Visit,2015
353,Dark Skies,2013
354,13 Sins,2014
355,Scouts Guide to the Zombie Apocalypse,2015
356,Underworld: Awakening,2012
357,Dead Snow,2009
358,I Spit on Your Grave,2010
359,Paranormal Activity,2007
360,#Alive,2020
361,Goosebumps,2015
362,Dracula Untold,2014
363,The Uninvited,2009
364,Feast,2005
365,Predator 2,1990
366,Sleepaway Camp,1983
367,The Hills Have Eyes,1977
368,Damien: Omen II,1978
369,Synchronic,2019
370,Happy Death Day 2U,2019
371,The Perfection,2018
372,Fear Street: Part One - 1994,2021
373,1922,2017
374,Verónica,2017
375,Color Out of Space,2019
376,It Comes at Night,2017
377,Colossal,2016
378,Ouija: Origin of Evil,2016
379,Krampus,2015
380,Scary Stories to Tell in the Dark,2019
381,Before I Wake,2016
382,"As Above, So Below",2014
383,Deliver Us from Evil,2014
384,Open Grave,2013
385,Mama,2013
386,The Neon Demon,2016
387,Devil,2010
388,Scream 4,2011
389,Dark Shadows,2012
390,The Thing,2011
391,Red State,2011
392,Frontier(s),2007
393,Case 39,2009
394,Saw III,2006
395,The Strangers,2008
396,Rogue,2007
397,Dead Silence,2007
398,Vacancy,2007
399,Resident Evil: Extinction,2007
400,Land of the Dead,2005
401,Wolf Creek,2005
402,The Texas Chainsaw Massacre,2003
403,Resident Evil: Apocalypse,2004
404,Final Destination 2,2003
405,Jeepers Creepers,2001
406,Stigmata,1999
407,Idle Hands,1999
408,Scream 2,1997
409,Alien: Resurrection,1997
410,Wolf,1994
411,Killer Klowns from Outer Space,1988
412,House,1985
413,The Toxic Avenger,1984
414,The Amityville Horror,1979
415,Crawl,2019
416,Brightburn,2019
417,The Lodge,2019
418,Blood Red Sky,2021
419,Don't Breathe 2,2021
420,Insidious: Chapter 3,2015
421,Maniac,2012
422,The Collection,2012
423,Grave Encounters,2011
424,Hobo with a Shotgun,2011
