Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
Species II,1998,nder_18,8.0,0,0,1,0,0,0,0,0,0,0,4.7,8.0,4.9,4.6,4.7,1,181,1215,617,426
Cell,2016,females,4.5,118,61,124,243,462,652,523,403,263,334,4.5,4.0,4.2,4.4,4.7,3183,2,393,1683,823
The Human Centipede (First Sequence),2009,females,4.2,642,289,684,1084,1357,1714,1474,1181,1067,2601,4.2,4.2,3.9,4.2,4.6,12093,7,3839,6464,1202
Death Note,2017,females,4.5,452,194,524,927,1270,1340,1147,974,884,2241,4.5,2.7,4.1,4.6,5.4,9953,17,3741,4153,747
Aliens vs. Predator: Requiem,2007,females,4.8,478,159,401,589,963,1303,960,685,495,751,4.8,2.3,4.7,4.7,5.0,6784,3,958,4126,1435
Black Christmas,2006,females,4.7,484,106,206,361,507,717,614,403,331,465,4.7,4.0,4.9,4.6,4.9,4194,4,844,2579,610
Paranormal Activity 4,2012,females,4.8,755,255,632,1032,1577,2054,1777,1157,781,991,4.8,5.0,4.8,4.7,5.0,11011,4,3634,5495,1027
Psycho,1998,females,4.8,304,164,402,691,1056,1306,972,566,431,819,4.8,1.0,4.7,4.8,4.9,6711,1,833,4298,1342
Anacondas: The Hunt for the Blood Orchid,2004,females,4.9,260,91,223,343,492,610,462,326,203,312,4.9,6.0,5.2,4.8,5.0,3322,1,699,1900,581
Paranormal Activity: The Ghost Dimension,2015,females,4.9,170,109,225,367,640,791,637,410,275,249,4.9,4.7,4.7,4.9,5.0,3873,3,1186,1928,428
Friday the 13th: A New Beginning,1985,females,5.1,228,69,192,348,420,573,461,216,128,171,5.1,5.0,5.1,5.1,5.1,2806,3,425,1552,683
I Still Know What You Did Last Summer,1998,females,5.0,787,270,592,1173,1826,2530,2033,1164,631,613,5.0,8.0,5.2,4.9,5.0,11619,3,1957,7866,1277
Anaconda,1997,females,4.8,602,197,520,1069,1800,2307,1945,1310,764,872,4.8,6.7,5.0,4.7,4.8,11386,3,1886,7259,1675
Leprechaun,1993,females,4.7,289,94,153,261,401,529,499,305,230,342,4.7,7.0,4.7,4.7,4.4,3103,1,465,1929,569
Halloween: The Curse of Michael Myers,1995,females,5.2,311,86,201,311,497,679,448,253,146,201,5.2,5.0,5.1,5.2,5.4,3133,4,548,1800,595
Seed of Chucky,2004,females,4.9,705,174,364,562,870,1142,935,672,394,512,4.9,5.5,5.1,4.8,4.8,6330,9,1511,3652,867
Halloween II,2009,females,5.0,521,219,409,565,708,825,595,426,360,689,5.0,5.3,5.1,5.0,4.9,5317,3,1045,3129,834
The Unborn,2009,females,4.9,638,279,590,1056,1657,2136,1641,1044,644,651,4.9,3.0,5.1,4.8,5.0,10336,1,3029,5933,989
Texas Chainsaw,2013,females,5.0,544,186,351,605,892,1101,746,534,377,518,5.0,7.0,5.0,4.9,5.2,5854,2,1712,3026,639
Meet the Blacks,2016,females,4.1,60,17,55,87,124,191,150,114,105,199,4.1,4.0,4.3,4.0,4.2,1102,2,266,511,212
The Forest,2016,females,5.0,306,164,442,903,1695,2022,1415,829,433,368,5.0,6.5,5.1,4.9,5.0,8577,2,2541,4287,943
Freddy's Dead: The Final Nightmare,1991,females,5.4,551,152,327,552,739,981,675,335,214,219,5.4,4.7,5.2,5.4,5.3,4745,3,777,2808,926
Valentine,2001,females,5.2,490,157,357,587,827,926,680,414,232,236,5.2,4.5,5.6,5.1,5.2,4906,2,647,3423,645
Poltergeist,2015,females,5.0,508,195,515,1072,1726,2035,1411,870,555,644,5.0,4.5,5.1,5.0,5.0,9531,6,2663,4849,1268
Halloween III: Season of the Witch,1982,females,4.6,347,120,248,369,424,581,469,406,332,647,4.6,5.3,4.5,4.6,4.8,3943,6,632,2133,927
The Haunting,1999,females,5.5,941,484,1075,1815,2423,2530,1695,936,608,632,5.5,6.0,5.4,5.4,5.5,13139,1,1470,8542,2496
Fantasy Island,2020,females,5.2,210,139,394,842,1259,1249,856,472,320,299,5.2,5.1,5.1,5.2,5.3,6040,10,1570,2831,976
Cursed,2005,females,5.4,474,165,408,737,1011,1171,665,421,278,263,5.4,10.0,5.5,5.2,5.7,5593,1,725,3731,916
