Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
Annabelle: Creation,2017,females,6.6,1449,1087,2811,4465,3870,1870,754,412,237,284,6.6,6.4,6.6,6.5,6.6,17239,47,6114,7429,1506
It Chapter Two,2019,females,6.7,2626,2135,4801,6899,5240,2630,1260,738,478,568,6.7,6.6,6.7,6.6,6.7,27375,68,9043,12213,2718
Better Watch Out,2016,females,6.5,252,252,678,1249,935,427,174,105,77,154,6.5,6.1,6.5,6.5,6.6,4303,11,1157,2175,565
The Howling,1981,females,6.4,230,159,482,773,608,391,142,81,48,67,6.4,8.0,6.4,6.2,6.8,2981,1,286,1513,1057
A Nightmare on Elm Street 3: Dream Warriors,1987,females,6.7,1217,564,1251,1967,1659,856,347,148,84,164,6.7,8.2,6.7,6.8,6.6,8257,30,1411,4755,1600
The Witches of Eastwick,1987,females,6.8,1372,1046,2473,3948,2920,1258,502,217,130,147,6.8,7.0,6.7,6.8,6.9,14013,2,1679,8013,3621
Pet Sematary,1989,females,6.7,1695,1202,2706,4067,3094,1480,654,322,177,214,6.7,6.0,6.6,6.8,6.7,15611,10,2685,9153,2895
The Blob,1988,females,6.3,267,172,321,597,651,367,143,69,65,84,6.3,9.0,6.4,6.4,6.1,2736,1,293,1572,749
Child's Play,1988,females,6.5,1422,703,1786,3105,2713,1385,603,347,201,259,6.5,7.7,6.6,6.5,6.4,12524,37,2858,7262,1679
Flatliners,1990,females,6.8,993,995,2346,3819,2852,1211,508,230,121,97,6.8,8.0,6.7,6.7,6.9,13172,1,1112,7273,4192
Death Becomes Her,1992,females,7.0,3239,2174,4697,6649,4889,2205,1074,597,268,244,7.0,5.3,6.9,7.0,6.6,26036,6,4205,16077,4323
May,2002,females,6.7,1012,807,1404,1820,1345,755,331,227,142,201,6.7,6.0,6.8,6.7,6.7,8044,1,1196,5237,1338
What Lies Beneath,2000,females,6.8,1946,1785,4294,6585,4678,1921,741,363,193,188,6.8,5.9,6.7,6.8,6.9,22694,5,2331,14671,4688
The Wolf Man,1941,females,7.3,293,241,515,657,300,100,58,25,9,28,7.3,7.0,7.0,7.1,7.6,2226,2,328,1048,761
Overlord,2018,females,6.6,377,396,1080,1718,1212,560,209,114,74,120,6.6,6.8,6.8,6.6,6.6,5860,4,1324,2952,990
30 Days of Night,2007,females,6.6,2158,1815,3679,5371,4238,2223,1144,639,415,491,6.6,7.0,6.5,6.5,7.0,22173,3,3575,14234,3402
Antichrist,2009,females,6.5,1927,2226,3386,3749,2822,1762,998,673,581,1179,6.5,8.0,6.5,6.5,6.1,19303,3,4666,11853,1944
Cloverfield,2008,females,6.6,4216,3810,6956,8461,5582,3006,1690,1151,897,1772,6.6,7.0,6.6,6.7,6.5,37541,13,6838,23907,5154
Saw II,2005,females,6.6,3651,2229,4523,7110,5471,2675,1152,682,450,845,6.6,6.7,6.8,6.5,6.5,28788,33,7395,17486,2498
The Girl with All the Gifts,2016,females,6.7,484,566,1502,2460,1758,808,310,143,92,127,6.7,4.8,6.6,6.7,6.9,8250,4,1735,4438,1382
Bird Box,2018,females,6.9,4389,4251,9951,13784,8675,3493,1316,695,427,559,6.9,6.5,7.0,6.9,7.0,47540,82,15288,21263,5071
Hush,2016,females,6.7,1295,1327,3463,5435,3958,1712,702,314,222,250,6.7,6.6,6.8,6.6,6.7,18678,36,6836,8222,1540
Mother!,2017,females,6.4,3624,3338,5502,5975,4190,2804,1802,1390,1259,3711,6.4,6.6,6.9,6.3,5.4,33595,32,10541,15811,3508
Happy Death Day,2017,females,6.7,1394,1205,3270,5673,4076,1627,626,271,167,221,6.7,6.4,6.8,6.7,6.9,18530,46,6698,7960,1711
Life,2017,females,6.5,1234,1344,3888,6733,5364,2688,1202,649,412,548,6.5,6.6,6.6,6.4,6.5,24062,12,6135,12473,2991
Mandy,2018,females,6.2,521,450,827,981,746,512,326,245,212,442,6.2,7.0,6.5,6.2,5.5,5262,4,1158,2838,782
Return to Oz,1985,females,7.1,1089,581,1008,1111,763,371,207,101,71,119,7.1,4.5,6.5,7.2,6.5,5421,2,643,3875,663
Christine,1983,females,6.6,844,564,1417,2426,2018,920,412,181,98,121,6.6,6.0,6.7,6.6,6.7,9001,2,1138,4821,2595
Cronos,1993,females,6.7,186,182,460,833,549,257,92,45,35,45,6.7,7.0,6.8,6.6,6.9,2684,1,388,1612,576
Fear Street: Part Three - 1666,2021,females,6.9,507,385,965,1528,985,351,146,64,40,79,6.9,6.9,6.9,6.8,6.8,5050,45,1496,2438,512
Candyman,1992,females,6.6,1106,839,2007,2846,2311,1176,545,294,186,229,6.6,6.9,6.5,6.6,6.7,11539,13,1880,6920,2118
Prince of Darkness,1987,females,6.6,248,216,436,654,520,267,138,89,47,56,6.6,9.0,6.5,6.5,6.7,2671,1,263,1404,879
Blade II,2002,females,6.6,1603,1039,2497,4622,3769,1736,724,361,250,325,6.6,6.7,6.7,6.5,6.7,16926,3,2573,10596,2923
Resident Evil,2002,females,7.1,4238,2590,5298,7289,4674,1905,818,440,299,411,7.1,5.9,7.1,7.0,7.1,27962,8,5727,17441,3294
The Gift,2000,females,6.9,1060,904,2473,3755,2538,951,322,135,67,75,6.9,7.5,6.8,6.8,7.2,12280,2,1061,7416,3239
Final Destination,2000,females,6.8,3581,2614,6072,9732,6808,3178,1266,639,398,457,6.8,6.4,6.7,6.8,7.0,34745,35,8590,20778,3584
Ju-on: The Grudge,2002,females,6.7,628,523,1214,1892,1452,657,300,141,87,134,6.7,8.0,6.5,6.7,6.8,7028,2,1692,4207,851
Event Horizon,1997,females,6.6,1156,1063,2282,3041,2512,1345,762,470,261,355,6.6,8.0,6.5,6.7,6.6,13247,4,1411,8259,2941
The Exorcism of Emily Rose,2005,females,6.7,2256,1807,3934,6000,4293,2078,959,486,280,340,6.7,6.5,6.7,6.7,6.8,22433,14,5353,13415,2573
Inside,2007,females,6.6,567,499,890,1206,700,416,219,178,132,287,6.6,7.3,6.3,6.7,6.8,5094,3,1002,3260,624
Rare Exports,2010,females,6.9,365,368,733,924,500,250,118,53,54,68,6.9,8.0,6.7,6.9,7.1,3433,2,496,2103,674
The Call,2013,females,7.1,2906,2491,5015,6832,3904,1454,492,217,125,163,7.1,6.7,7.3,7.0,7.0,23599,9,6816,11668,2747
Zombieland: Double Tap,2019,females,6.8,919,958,2703,4613,3147,1113,410,188,136,134,6.8,6.7,6.8,6.8,6.9,14321,28,3988,7002,1757
Hotel Transylvania 2,2015,females,7.0,2664,1868,4378,6882,4593,1698,530,214,100,114,7.0,6.1,7.1,6.9,7.0,23041,40,8273,10624,1644
Suspiria,2018,females,6.6,733,827,1675,2114,1537,842,413,277,214,380,6.6,7.6,6.9,6.5,5.9,9012,11,2824,4364,930
Summer of 84,2018,females,6.7,325,317,807,1348,935,433,134,86,60,66,6.7,5.4,6.8,6.7,6.6,4511,5,1104,2408,572
Saint Maud,2019,females,6.5,132,202,531,866,590,309,174,65,60,106,6.5,7.3,6.7,6.5,6.2,3035,10,776,1540,455
Los ojos de Julia,2010,females,6.7,554,530,1172,2055,1449,599,253,106,60,100,6.7,10.0,6.9,6.7,6.5,6878,1,1829,4049,618
Turbo Kid,2015,females,6.8,200,178,315,444,250,127,116,27,20,56,6.8,8.0,6.9,6.9,6.4,1733,1,321,1030,272
Pandorum,2009,females,6.6,1183,1163,2500,3613,2569,1306,620,351,207,241,6.6,4.0,6.6,6.7,6.5,13753,1,1964,8861,2377
Fear Street: Part Two - 1978,2021,females,6.9,569,481,1281,2029,1121,384,120,56,32,80,6.9,6.8,7.0,6.9,6.9,6153,50,1774,3001,627
The Fog,1980,females,6.6,660,447,1052,1609,1229,625,334,140,86,120,6.6,6.5,6.5,6.5,7.0,6302,2,784,3360,1876
Goodnight Mommy,2014,females,6.7,421,600,1422,2236,1521,698,384,216,121,211,6.7,7.8,6.8,6.6,6.8,7830,4,2593,3876,774
The Brood,1979,females,6.7,225,196,430,702,453,220,99,42,30,49,6.7,7.3,6.8,6.7,6.8,2446,3,340,1403,612
House on Haunted Hill,1959,females,7.1,475,333,760,1158,705,256,100,34,25,33,7.1,6.0,7.0,7.0,7.1,3879,3,642,2057,977
Marrowbone,2017,females,6.9,571,454,1182,1630,1019,362,142,49,26,52,6.9,6.9,7.2,6.8,6.8,5487,6,1529,2644,701
High Tension,2003,females,6.9,1091,1006,1773,2145,1244,660,365,213,152,276,6.9,4.9,6.8,6.9,6.9,8925,5,1289,5867,1419
Trick 'r Treat,2007,females,6.7,1966,1285,2422,3121,2259,1304,750,453,317,466,6.7,8.5,6.5,6.7,6.9,14343,12,3386,8630,1617
The Devil's Rejects,2005,females,6.8,2322,1207,1855,2207,1326,760,442,302,275,611,6.8,8.0,6.7,6.8,6.5,11307,1,1552,7395,1857
Eden Lake,2008,females,6.6,966,958,2138,3067,1962,965,509,322,239,443,6.6,5.2,6.6,6.6,6.8,11569,4,2663,7043,1289
1408,2007,females,6.8,3962,3576,7375,10039,6808,3349,1567,794,488,534,6.8,7.3,6.9,6.7,6.8,38492,11,8958,23197,4613
Odd Thomas,2013,females,7.1,1341,938,1814,2177,1166,580,246,133,87,99,7.1,6.0,7.2,7.0,7.1,8581,1,1420,4630,1846
Insidious,2010,females,6.9,6204,5035,9779,12265,8333,4076,1959,1107,740,844,6.9,7.4,6.9,6.9,6.9,50342,48,16647,25200,4624
Warm Bodies,2013,females,7.1,8697,6120,12409,15209,8351,3716,1573,858,511,698,7.1,6.7,7.2,7.0,7.2,58142,13,21634,27070,4273
Annihilation,2018,females,6.8,2228,2940,6894,9250,6421,3248,1540,924,660,758,6.8,7.2,7.0,6.7,6.5,34863,22,10145,17262,3658
The Babadook,2014,females,6.7,2235,2922,5884,7433,5324,3150,1697,963,640,1022,6.7,5.8,6.7,6.6,6.8,31270,24,10008,15414,3176
Stonehearst Asylum,2014,females,6.9,1084,965,2192,3206,1980,804,236,111,79,55,6.9,6.0,7.2,6.8,6.9,10712,3,2701,5805,1391
It Follows,2014,females,6.5,1797,2276,5132,6982,4877,2987,1774,1137,861,1611,6.5,6.0,6.5,6.5,6.3,29434,25,9247,14870,2827
Sinister,2012,females,6.8,3643,3728,7503,10251,6923,3332,1436,770,444,518,6.8,6.8,6.9,6.8,6.9,38548,34,12564,18910,3758
The Autopsy of Jane Doe,2016,females,6.7,1099,1246,3023,4802,3418,1515,618,325,163,187,6.7,6.5,6.7,6.7,6.8,16396,14,4909,7901,1942
The House That Jack Built,2018,females,6.6,602,710,1405,1761,1169,661,378,244,187,373,6.6,5.7,6.8,6.5,6.0,7490,7,2322,3534,897
Shin Godzilla,2016,females,6.8,155,125,243,312,176,109,59,24,21,40,6.8,9.0,7.0,6.7,6.7,1264,4,294,616,217
Us,2019,females,6.9,2730,3221,6801,8058,5011,2384,1259,813,625,1197,6.9,7.3,7.1,6.8,6.6,32099,55,10739,14172,3410
I See You,2019,females,6.9,540,568,1514,2112,1189,469,185,82,59,84,6.9,6.2,7.0,6.9,6.9,6802,11,1395,3280,1430
Creepshow,1982,females,7.0,654,399,809,1250,806,342,143,72,45,84,7.0,8.0,6.9,6.9,7.1,4604,1,610,2526,1244
The Witches,1990,females,7.1,1415,924,2115,2975,1746,703,295,101,50,69,7.1,6.1,6.8,7.2,7.0,10393,5,1770,6749,1191
Night of the Living Dead,1990,females,6.8,436,284,560,976,636,327,133,68,51,110,6.8,6.5,6.9,6.8,6.8,3581,2,444,2174,805
Frankenweenie,2012,females,7.2,2585,2158,4984,6704,3403,1258,467,240,123,220,7.2,7.2,7.2,7.1,7.3,22142,14,6649,11981,1959
Shadow of the Vampire,2000,females,6.9,405,450,946,1298,696,349,156,81,65,101,6.9,7.0,6.7,6.9,7.1,4547,1,327,2660,1435
Hocus Pocus,1993,females,7.5,10270,3974,6648,7018,4431,1875,722,414,235,193,7.5,7.5,7.3,7.6,7.3,35780,21,7778,21487,3702
28 Weeks Later,2007,females,6.9,2833,2620,5814,8715,4912,2061,930,499,361,530,6.9,6.4,6.9,6.9,7.0,29275,7,5524,18462,3973
The Witch,2015,females,6.5,2133,2345,5080,6075,4481,2745,1652,1116,849,1547,6.5,6.8,6.7,6.4,6.3,28023,27,8543,13668,2980
Near Dark,1987,females,7.0,430,347,681,838,546,264,102,61,52,79,7.0,7.0,7.1,6.8,7.3,3400,1,352,1854,1072
Under the Shadow,2016,females,6.8,183,282,720,1017,635,264,121,67,43,87,6.8,6.0,6.9,6.8,6.6,3419,2,867,1891,400
Creature from the Black Lagoon,1954,females,6.9,242,148,420,770,449,200,66,37,21,21,6.9,3.0,6.9,6.8,7.0,2374,1,412,1090,770
Hellraiser,1987,females,7.0,1733,1181,2434,3196,1840,915,455,252,203,252,7.0,7.3,6.9,6.9,7.2,12461,20,2262,7270,2257
Ready or Not,2019,females,7.0,1355,1504,3797,5492,2893,1015,376,175,113,155,7.0,8.2,7.1,7.0,7.1,16875,28,5269,7933,1808
10 Cloverfield Lane,2016,females,7.0,1814,2834,7854,9921,5360,2318,1018,535,379,510,7.0,7.1,7.1,7.0,7.1,32543,22,9177,16221,3848
Ravenous,1999,females,7.1,584,498,839,911,526,236,150,58,51,95,7.1,7.0,6.9,7.1,7.2,3948,1,288,2381,1120
Henry: Portrait of a Serial Killer,1986,females,6.7,229,248,609,876,593,308,130,88,56,84,6.7,7.0,6.7,6.6,6.9,3221,4,481,1857,752
Stir of Echoes,1999,females,7.1,1052,1176,2742,3932,1889,775,281,158,102,140,7.1,6.7,6.9,7.0,7.3,12247,3,939,7665,3158
World War Z,2013,females,7.1,7393,8013,17236,21043,10969,4605,2000,1100,708,977,7.1,5.6,7.2,7.0,7.1,74044,32,20028,38007,8556
Constantine,2005,females,7.2,6982,5407,9719,11293,6280,2760,1227,634,408,464,7.2,7.5,7.3,7.1,7.2,45174,14,8099,28604,5949
Hellboy II: The Golden Army,2008,females,7.0,2758,2388,5278,6897,3888,1575,668,377,240,385,7.0,7.5,7.0,7.0,7.2,24454,4,4603,15004,3647
Climax,2018,females,7.0,668,863,1554,1523,813,441,226,139,121,257,7.0,7.0,7.4,6.8,6.0,6605,9,2804,2684,465
The Thing from Another World,1951,females,7.1,261,157,498,630,422,276,67,45,41,24,7.1,10.0,6.7,6.8,7.5,2421,1,156,1156,1043
The Mummy,1932,females,7.2,475,239,522,672,338,127,45,26,14,26,7.2,6.0,7.0,7.1,7.5,2484,1,355,1089,956
Fright Night,1985,females,7.1,1243,774,1754,2218,1188,521,233,105,64,112,7.1,6.8,7.1,7.0,7.4,8212,4,1202,4377,2208
Day of the Dead,1985,females,7.0,554,379,833,1162,690,328,123,73,43,124,7.0,8.2,6.9,7.1,6.8,4309,4,486,2609,1045
Little Shop of Horrors,1986,females,7.3,2041,1345,2525,2883,1636,679,250,152,99,129,7.3,6.6,7.4,7.3,7.1,11739,6,1901,6557,2626
Blade,1998,females,7.0,2684,2017,4793,6856,3477,1554,638,377,228,379,7.0,7.0,7.0,7.0,7.2,23003,4,3603,14352,3906
Pitch Black,2000,females,7.2,2869,2473,4880,5508,2727,1269,526,296,171,243,7.2,8.0,7.2,7.2,7.4,20962,4,2406,13132,4432
The Frighteners,1996,females,7.2,1188,1002,2260,2529,1279,562,253,122,72,111,7.2,7.5,7.2,7.2,7.2,9378,2,891,5946,2125
Tremors,1990,females,7.0,1662,1194,2693,3492,1918,969,410,242,165,165,7.0,6.7,6.9,7.0,7.1,12910,7,1631,7669,2947
The Ring,2002,females,7.0,5895,5485,11769,15286,8212,3567,1562,853,568,757,7.0,6.7,7.0,7.0,7.2,53954,39,13666,31677,5754
Thirst,2009,females,7.0,477,634,1328,1594,830,354,175,111,77,114,7.0,7.0,7.1,7.0,6.9,5694,2,1113,3630,712
Shutter,2004,females,7.1,1110,913,1782,2110,1118,554,208,120,82,91,7.1,7.0,7.1,7.2,7.0,8088,2,2015,4908,840
The Host,2006,females,7.0,1092,1140,2494,2994,1417,634,323,175,142,236,7.0,6.8,7.1,7.0,7.2,10647,11,2235,6172,1640
Martyrs,2008,females,7.2,2052,1871,2727,2563,1333,742,385,258,235,501,7.2,6.7,7.2,7.2,7.2,12667,6,3220,7572,1225
The Mist,2007,females,6.9,3575,3605,7487,8165,4926,2662,1390,945,748,1214,6.9,7.6,6.8,6.8,7.0,34717,16,7788,20672,4498
Hotel Transylvania,2012,females,7.4,8461,6125,12496,14532,6819,2510,902,406,220,288,7.4,7.2,7.5,7.3,7.4,52759,54,18210,25552,4077
The Invisible Man,2020,females,7.2,1912,2552,6152,7197,3521,1355,542,289,204,292,7.2,6.7,7.2,7.1,7.1,24016,33,6948,11231,3039
Let Me In,2010,females,6.8,1923,1765,3975,5139,3237,1478,714,399,298,563,6.8,7.7,6.8,6.8,7.1,19491,3,4946,10989,2574
The Call,2020,females,7.2,313,367,898,1115,467,172,49,31,22,40,7.2,8.3,7.3,7.1,7.1,3474,8,1285,1453,287
Bone Tomahawk,2015,females,6.9,438,521,1187,1627,867,376,192,104,104,132,6.9,8.5,7.0,6.9,7.0,5548,2,853,2927,1335
The Fearless Vampire Killers,1967,females,7.3,570,419,740,767,422,185,85,42,47,75,7.3,6.0,7.3,7.3,7.2,3352,2,460,1924,836
Don't Breathe,2016,females,7.0,2159,2601,6811,9195,5004,2024,788,411,260,350,7.0,6.7,7.1,6.9,6.9,29603,41,10444,13190,2607
Midsommar,2019,females,7.0,3016,3972,7565,7706,4196,2190,1148,842,709,1612,7.0,7.2,7.2,6.9,6.5,32956,82,11705,14255,3281
Don't Look Now,1973,females,7.0,709,817,1355,1494,878,436,260,154,115,150,7.0,6.5,7.1,6.9,7.2,6368,4,920,3469,1738
Black Christmas,1974,females,7.1,741,470,947,1226,634,314,160,91,53,87,7.1,9.0,7.0,7.1,7.2,4723,9,795,2694,1025
Stree,2018,females,7.4,347,327,398,311,149,54,33,21,16,33,7.4,7.2,7.5,7.4,6.4,1689,8,501,639,92
Saw,2004,females,7.5,8256,6763,13066,10060,4395,2117,1030,713,497,1189,7.5,7.5,7.5,7.5,7.3,48086,51,12232,28798,4526
Re-Animator,1985,females,7.0,603,469,1002,1295,709,324,171,91,59,119,7.0,7.0,7.1,6.9,6.9,4842,2,850,2795,957
Videodrome,1983,females,7.0,728,735,1640,2042,1066,513,268,127,100,191,7.0,7.3,7.1,7.0,6.9,7410,3,1519,4251,1317
In the Mouth of Madness,1994,females,7.0,666,565,1195,1562,878,459,210,124,102,111,7.0,5.0,6.9,6.9,7.0,5872,1,794,3588,1238
Ringu,1998,females,7.2,1050,1007,2266,2510,1175,531,232,120,82,120,7.2,5.3,7.0,7.3,7.5,9093,3,1734,5651,1352
Cube,1997,females,7.2,2369,2962,6430,6639,3529,1577,697,383,248,423,7.2,7.4,7.0,7.2,7.2,25257,8,5574,15625,2795
From Dusk Till Dawn,1996,females,7.2,3161,3201,6953,7681,3983,1777,839,494,371,567,7.2,7.0,7.1,7.2,7.1,29027,9,4775,17595,5158
A Tale of Two Sisters,2003,females,7.3,1690,1526,2837,2616,1389,607,259,151,97,167,7.3,7.8,7.3,7.3,7.4,11339,4,2531,7156,1183
Audition,1999,females,7.0,816,1088,2286,2511,1367,715,312,200,148,242,7.0,8.3,6.9,6.9,7.1,9685,3,1869,6051,1399
Poltergeist,1982,females,7.4,3157,2713,5624,5469,2736,1145,466,267,188,212,7.4,7.6,7.0,7.3,7.9,21977,33,4012,11862,4852
The Descent,2005,females,7.1,3542,3563,6652,6714,3738,1792,916,545,385,561,7.1,6.5,7.0,7.1,7.3,28408,19,6114,17076,3800
Gremlins,1984,females,7.2,3027,2457,6303,8061,4087,1548,658,324,203,218,7.2,6.9,7.1,7.2,7.3,26886,28,4958,15643,4664
The Return of the Living Dead,1985,females,7.1,912,660,1176,1126,661,296,131,91,61,125,7.1,8.5,7.1,7.1,7.1,5239,2,603,2903,1517
Angel Heart,1987,females,7.2,892,900,1885,2050,1082,454,217,115,82,137,7.2,6.0,7.0,7.1,7.2,7814,3,852,4001,2645
The Lost Boys,1987,females,7.6,5543,3142,5200,5250,2461,905,374,180,119,147,7.6,7.8,7.5,7.5,7.8,23321,12,3471,12910,5634
Dead Ringers,1988,females,7.2,535,629,1321,1242,695,299,151,64,46,88,7.2,8.0,7.5,7.2,7.1,5070,4,728,2603,1534
They Live,1988,females,7.2,1070,825,1846,2144,1211,506,203,115,72,149,7.2,7.1,7.2,7.2,7.2,8141,6,1378,4467,1894
Scream,1996,females,7.3,7125,4890,9723,11450,6065,2712,1213,708,483,685,7.3,7.8,7.4,7.2,7.2,45054,76,9629,27313,5590
Twin Peaks: Fire Walk with Me,1992,females,7.3,2012,1465,2816,2966,1691,749,294,177,140,198,7.3,6.8,7.4,7.4,7.1,12508,8,2585,6984,2333
Sleepy Hollow,1999,females,7.5,9276,8756,17970,16565,7174,2656,981,488,265,281,7.5,7.2,7.5,7.5,7.5,64412,24,13630,39771,7889
Sweeney Todd: The Demon Barber of Fleet Street,2007,females,7.6,18616,13177,20688,17029,8368,3466,1676,937,613,1074,7.6,7.1,7.8,7.5,7.3,85644,32,24535,49790,7058
An American Crime,2007,females,7.5,1336,1217,2573,2371,919,283,117,57,25,67,7.5,9.0,7.6,7.5,7.5,8965,3,2089,5319,1143
It,2017,females,7.3,9136,8584,15321,14497,7389,3666,1678,1030,740,1273,7.3,7.4,7.4,7.3,7.3,63314,140,22461,26999,5686
Split,2016,females,7.4,8255,9567,18550,17496,7816,2758,1084,531,317,579,7.4,7.5,7.5,7.4,7.4,66953,59,23133,29561,6055
The Conjuring 2,2016,females,7.3,4239,3788,8132,8521,4145,1628,659,326,183,226,7.3,6.9,7.3,7.3,7.4,31847,60,11198,14078,2702
Dawn of the Dead,2004,females,7.2,2953,2675,5846,6389,3141,1404,585,364,218,416,7.2,7.6,7.1,7.2,7.3,23991,5,4385,15146,3378
Doctor Sleep,2019,females,7.3,2409,2647,5475,5045,2389,997,454,246,184,268,7.3,6.8,7.3,7.3,7.4,20114,25,5072,9790,2962
The Rocky Horror Picture Show,1975,females,7.9,10652,5486,7701,6088,2545,1139,534,339,255,391,7.9,7.3,7.9,7.9,7.9,35130,26,8935,18828,5382
Hereditary,2018,females,7.0,3656,4528,7661,7637,4613,2566,1488,1046,870,1842,7.0,7.5,7.2,6.9,6.5,35907,60,11734,16126,3934
Carrie,1976,females,7.4,4106,3868,8556,8860,3576,1368,572,275,189,247,7.4,7.7,7.4,7.4,7.7,31617,36,6933,17387,5553
A Quiet Place Part II,2020,females,7.4,1988,1986,4519,4559,1856,633,214,130,101,101,7.4,7.5,7.4,7.3,7.5,16087,54,4613,7390,2131
House,1977,females,7.3,386,277,577,570,286,149,70,38,27,33,7.3,8.0,7.7,7.2,7.0,2413,6,759,1216,294
Eraserhead,1977,females,7.3,1751,1632,2606,2346,1109,585,317,213,189,373,7.3,7.5,7.4,7.3,7.0,11121,15,2995,5880,1739
Suspiria,1977,females,7.3,1507,1368,2633,2524,1427,758,281,157,143,222,7.3,7.6,7.5,7.3,7.0,11020,19,2709,5986,1763
Dracula,1992,females,7.6,6420,5018,8230,6841,3509,1677,791,424,296,387,7.6,6.1,7.3,7.6,7.7,33593,13,5311,20171,6390
Possession,1981,females,7.3,556,481,808,691,343,205,115,72,43,122,7.3,6.0,7.6,7.2,6.8,3436,1,946,1741,542
Invasion of the Body Snatchers,1978,females,7.4,511,651,1372,1493,643,246,106,53,38,57,7.4,9.0,7.4,7.3,7.4,5170,1,612,2561,1779
Pi,1998,females,7.4,2269,2638,4651,3779,1739,814,413,273,193,336,7.4,6.1,7.4,7.4,7.2,17105,6,3137,10973,2392
The Devil's Backbone,2001,females,7.5,1118,1387,2738,2270,946,341,136,77,54,75,7.5,8.5,7.4,7.5,7.8,9142,2,1405,5808,1599
Thesis,1996,females,7.5,743,814,1520,1247,530,183,81,43,48,70,7.5,10.0,7.7,7.5,7.5,5279,2,875,3382,815
The Orphanage,2007,females,7.6,4262,4997,9143,7030,2981,1150,459,211,128,221,7.6,6.2,7.5,7.6,7.6,30582,10,7111,19168,3085
Dracula,1931,females,7.6,1151,761,1481,1362,596,207,96,40,28,40,7.6,7.2,7.4,7.5,7.9,5762,6,1117,2893,1536
The Haunting,1963,females,7.6,1027,682,1352,1202,656,391,116,89,49,81,7.6,6.0,7.4,7.4,7.9,5645,3,627,2860,1956
REC,2007,females,7.2,2459,2721,5635,4858,2537,1292,691,403,348,491,7.2,6.8,7.0,7.2,7.2,21435,11,5547,13032,1892
The Texas Chain Saw Massacre,1974,females,7.1,2134,1590,3390,3341,1793,945,439,297,229,405,7.1,7.3,7.1,7.2,7.1,14563,44,3374,7964,2443
The Evil Dead,1981,females,7.2,2925,2063,4218,3864,2091,1091,522,341,242,433,7.2,6.8,7.1,7.3,7.3,17790,27,3608,10280,2849
The Wicker Man,1973,females,7.3,1440,1034,2207,1875,1053,632,219,160,160,183,7.3,7.3,7.4,7.2,7.4,8963,7,1491,4753,2380
The Omen,1976,females,7.5,1855,1919,4418,3775,1563,629,288,111,85,128,7.5,7.5,7.3,7.4,7.8,14771,21,2706,8057,3326
An American Werewolf in London,1981,females,7.4,1360,1324,2561,2398,1204,512,188,134,80,106,7.4,7.0,7.2,7.3,7.7,9867,11,1521,4969,2863
A Nightmare on Elm Street,1984,females,7.4,5016,3485,7690,7320,3416,1464,589,360,223,324,7.4,7.5,7.4,7.4,7.5,29887,54,7056,16440,4618
Nosferatu the Vampyre,1979,females,7.6,465,597,991,731,357,177,60,49,41,54,7.6,7.0,7.6,7.5,7.7,3522,2,609,1954,837
Deep Red,1975,females,7.4,490,420,952,803,494,267,92,49,48,75,7.4,6.6,7.5,7.5,7.2,3690,6,593,2045,901
Jacob's Ladder,1990,females,7.4,1307,1495,3003,2650,1229,503,210,132,83,146,7.4,6.0,7.4,7.4,7.4,10758,2,1910,5977,2443
The Fly,1986,females,7.3,1430,1827,4849,4667,2040,935,386,213,133,220,7.3,7.6,7.4,7.2,7.3,16700,9,2618,9653,3655
Interview with the Vampire: The Vampire Chronicles,1994,females,7.8,12327,11191,18803,14193,5689,2196,913,510,304,424,7.8,7.5,7.7,7.8,7.6,66550,18,13237,41727,8281
Army of Darkness,1992,females,7.4,2320,1553,2796,2282,1307,627,315,192,148,276,7.4,6.9,7.1,7.4,7.4,11816,8,1417,7265,2549
The Conjuring,2013,females,7.5,11791,11242,20089,17280,7774,3075,1284,667,437,624,7.5,7.4,7.5,7.5,7.5,74263,72,25196,34566,6767
Dead Alive,1992,females,7.2,1312,987,1787,1362,800,423,224,155,145,275,7.2,5.0,7.2,7.3,7.1,7470,1,1114,4928,1159
Grindhouse,2007,females,7.7,4193,2666,3995,2731,1166,564,270,216,201,1206,7.7,6.0,7.7,7.7,7.2,17208,2,1822,11946,2877
Eyes Without a Face,1960,females,7.7,471,590,1118,936,330,135,36,31,16,30,7.7,7.4,7.7,7.6,7.8,3693,6,845,1997,695
The Birds,1963,females,7.7,3773,4187,8260,6285,2549,1026,414,193,153,214,7.7,7.9,7.5,7.7,8.0,27054,17,5672,14619,5535
Peeping Tom,1960,females,7.6,447,578,1053,799,379,167,71,35,14,39,7.6,7.4,7.7,7.5,7.6,3582,5,670,1978,801
Invasion of the Body Snatchers,1956,females,7.6,609,625,1446,1072,461,177,62,43,26,74,7.6,7.2,7.3,7.5,7.8,4595,4,635,2183,1638
Evil Dead II,1987,females,7.4,2165,1558,2931,2251,1081,624,317,184,142,267,7.4,7.4,7.4,7.4,7.4,11520,19,1831,6899,2184
