Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
The Divide,2011,males,5.8,1565,1215,2946,5124,5815,4198,2486,1393,986,1409,5.8,6.5,6.0,5.8,5.6,27137,2,2689,17710,5854
Curse of Chucky,2013,males,5.6,1925,694,1866,3848,5696,4562,2484,1455,842,950,5.6,6.2,5.7,5.6,5.5,24322,28,5197,14422,3107
Rubber,2010,males,5.8,1803,1300,3165,5028,4957,3245,2040,1397,1190,1967,5.8,5.2,5.8,5.8,5.7,26092,4,5111,15823,4094
Final Destination 5,2011,males,5.8,4790,2372,6601,14301,20589,14247,6454,3203,1813,2186,5.8,6.1,5.9,5.8,5.9,76556,40,19008,45008,9062
Buffy the Vampire Slayer,1992,males,5.5,1009,503,1560,3713,6068,5207,2830,1554,788,782,5.5,6.0,5.4,5.5,5.6,24014,1,1148,14612,7465
The Addams Family,2019,males,5.7,635,354,1205,3130,4966,3686,1526,707,412,482,5.7,5.0,5.7,5.7,5.8,17103,35,3133,9038,3342
I Spit on Your Grave,1978,males,5.6,1177,684,1737,3219,4224,3027,1710,1024,759,1157,5.6,5.5,5.6,5.6,5.7,18718,6,2014,10967,5126
Ma,2019,males,5.6,592,384,1425,4283,7652,5725,2597,1235,671,746,5.6,4.4,5.4,5.6,5.7,25310,27,5190,13100,4686
The Meg,2018,males,5.6,3109,1732,5809,16643,26611,19437,9593,4915,2652,2563,5.6,5.6,5.6,5.5,5.7,93064,117,18435,48047,16907
Teeth,2007,males,5.4,1110,672,2041,4533,6067,4992,3062,1933,1382,1903,5.4,4.8,4.9,5.4,5.7,27695,6,3534,18397,4998
Friday the 13th Part III,1982,males,5.7,2418,1156,2771,5399,8172,7091,3529,1880,843,764,5.7,5.7,5.7,5.7,5.5,34023,34,5138,19804,7417
A Nightmare on Elm Street 4: The Dream Master,1988,males,5.6,2100,834,2451,5575,9180,8280,3937,1714,790,622,5.6,5.5,5.6,5.7,5.5,35483,23,4776,21848,7216
My Bloody Valentine,2009,males,5.4,2182,1054,2550,5565,8330,7436,4137,2565,1541,1658,5.4,4.3,5.4,5.4,5.5,37018,5,5774,24422,5731
Countdown,2019,males,5.3,544,261,862,2521,4349,3730,2014,1147,659,598,5.3,4.3,5.2,5.3,5.5,16685,29,4012,8361,2724
Poltergeist II: The Other Side,1986,males,5.6,763,361,1235,2800,4763,3843,1867,838,424,334,5.6,5.2,5.5,5.7,5.6,17228,4,1119,9188,6239
Resident Evil: Retribution,2012,males,5.3,7701,2699,6380,12880,19889,19811,11633,7245,4641,5467,5.3,5.0,5.6,5.2,5.4,98346,21,19530,60186,13085
Annabelle,2014,males,5.4,3365,1742,4971,12266,20782,18012,9724,5320,2863,3058,5.4,5.4,5.3,5.4,5.4,82103,100,24706,40512,8678
The Mummy,2017,males,5.4,3677,1921,6217,17904,29630,24643,12685,7104,3840,3957,5.4,4.6,5.4,5.4,5.5,111578,63,21307,59881,19468
The Grudge 2,2006,males,5.0,1796,674,1614,3279,5545,6787,4527,2686,1701,2127,5.0,4.5,5.2,5.0,5.0,30736,7,5191,20010,4525
An American Haunting,2005,males,4.9,891,438,796,1599,2496,3186,2152,1414,847,1501,4.9,5.0,4.9,4.8,5.1,15320,1,922,9517,4589
See No Evil,2006,males,5.0,1437,417,984,2131,3531,4184,2549,1568,951,1183,5.0,5.0,5.1,5.0,5.0,18935,1,2552,12816,3004
Stay Alive,2006,males,4.9,1446,473,1068,2178,3326,3671,2735,1896,1321,1582,4.9,5.2,5.3,4.9,4.8,19696,4,3070,13184,2920
Spawn,1997,males,5.2,3147,1160,3135,6848,10275,10057,6243,3876,2444,2473,5.2,4.9,5.2,5.3,5.1,49658,10,4035,34808,9029
When a Stranger Calls,2006,males,5.0,1521,553,1460,3081,4925,5393,3535,2408,1608,2157,5.0,5.0,5.3,4.9,5.0,26641,8,4340,17048,4350
The Hills Have Eyes 2,2007,males,5.1,2042,762,2145,5137,9342,10288,6121,3506,2053,2291,5.1,5.6,5.2,5.1,5.1,43687,6,7167,28698,6124
Rings,2017,males,4.4,686,205,649,1667,3510,5231,4297,2929,1883,1780,4.4,2.9,4.3,4.4,4.7,22837,11,5496,12136,3234
Scooby-Doo 2: Monsters Unleashed,2004,males,4.9,2095,554,1450,3201,5265,6801,4665,2742,1717,1612,4.9,5.2,5.1,4.7,5.0,30102,48,10566,13334,4384
Friday the 13th Part VIII: Jason Takes Manhattan,1989,males,4.5,1484,419,1041,2057,3286,4684,4448,3091,2214,1805,4.5,3.9,4.4,4.6,4.3,24529,19,3435,15042,4986
Psycho,1998,males,4.6,909,507,1345,2933,4913,6125,4594,2914,2133,3818,4.6,3.2,4.1,4.6,4.7,30191,8,2615,19064,7581
The Island of Dr. Moreau,1996,males,4.5,825,306,811,1849,3253,4485,4156,2858,1842,1783,4.5,2.0,4.5,4.6,4.4,22168,1,773,13360,7394
Black Christmas,2006,males,4.6,1284,320,808,1501,2387,2898,2649,1939,1434,1877,4.6,5.1,4.7,4.5,4.5,17097,7,2227,11084,3278
Aliens vs. Predator: Requiem,2007,males,4.7,4780,1713,4165,8671,14238,18196,14199,9625,6929,8310,4.7,3.3,4.4,4.7,4.8,90826,27,11257,59971,16015
Manos: The Hands of Fate,1966,males,1.8,4138,147,139,181,187,258,324,670,1891,15793,1.8,1.5,2.2,1.8,1.6,23728,9,2848,15192,5092
Paranormal Activity 4,2012,males,4.5,1997,588,1598,3506,6293,8416,7174,4521,3069,4162,4.5,5.3,4.5,4.5,4.6,41324,19,10964,22695,4836
Laxmii,2020,males,2.2,781,134,136,176,245,357,374,441,826,9084,2.2,3.9,2.4,2.1,2.0,12554,65,4265,4973,439
Alone in the Dark,2005,males,2.4,1087,162,402,618,967,1781,2541,3891,5617,14435,2.4,8.0,2.0,2.3,2.7,31501,2,2150,22426,6181
Paranormal Activity: The Ghost Dimension,2015,males,4.6,527,198,621,1382,2613,3479,2808,1756,1203,1473,4.6,4.4,4.4,4.6,4.6,16060,18,3972,8532,2277
BloodRayne,2005,males,2.9,1357,220,474,780,1343,2013,2526,3551,4165,9359,2.9,2.5,2.8,2.8,3.3,25788,2,1562,18199,5498
Slender Man,2018,males,3.2,420,74,212,467,1007,1954,2708,2997,2857,3526,3.2,2.7,2.9,3.3,3.6,16222,46,4516,7531,2373
Jaws: The Revenge,1987,males,2.9,826,150,338,730,1509,2588,3883,5570,5983,7950,2.9,2.1,2.6,3.0,2.8,29527,23,3120,16469,8689
Troll 2,1990,males,2.9,2370,363,698,627,719,824,948,1826,3016,11211,2.9,1.6,2.9,2.9,2.5,22602,10,3638,14713,3454
House of the Dead,2003,males,2.0,1009,131,265,408,637,1065,1483,2391,4403,15243,2.0,2.5,1.9,1.9,2.4,27035,4,2258,19296,4834
Vampires Suck,2010,males,3.2,1944,346,762,1192,1976,2822,3433,3850,4070,7866,3.2,2.5,3.3,3.2,3.4,28261,6,7382,16717,3166
