Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
The Open House,2018,males,3.2,213,81,211,489,982,1636,2233,2353,2367,5038,3.2,1.9,3.0,3.3,3.5,15603,16,3238,7892,2648
I Know Who Killed Me,2007,males,3.5,1075,236,418,812,1169,1642,1855,1873,1998,4299,3.5,2.5,3.3,3.5,3.7,15377,3,1304,10757,3018
The Fog,2005,males,3.6,796,187,463,974,1932,3428,4148,4293,3232,4550,3.6,6.5,3.5,3.5,3.8,24003,3,2008,15284,6038
Jaws 3-D,1983,males,3.6,742,212,476,1072,2157,4006,5550,6004,4116,3701,3.6,2.6,3.3,3.7,3.7,28036,23,3185,14802,8764
The Wicker Man,2006,males,3.7,1546,410,1042,2503,4178,6124,6951,6983,6180,9392,3.7,2.0,3.6,3.7,3.8,45309,9,5154,28988,9767
Human Centipede 2: Tom Six Discusses the Story Concept,2011,males,3.9,1512,583,1274,1932,2388,2741,3008,2827,2910,5767,3.9,2.9,3.4,3.9,4.1,24942,13,5687,14225,3781
Prom Night,2008,males,3.7,1033,234,500,1017,1847,2910,3449,3160,2652,3753,3.7,2.5,4.0,3.7,3.7,20555,6,3216,13414,3319
Piranha 3DD,2012,males,3.8,1352,297,809,1572,2762,4460,5254,5106,4237,4844,3.8,2.2,3.5,3.8,3.9,30693,9,6627,17993,4627
Halloween: Resurrection,2002,males,3.9,1273,277,718,1501,2782,4428,5318,4120,3198,3370,3.9,3.6,3.8,3.9,4.1,26985,12,3717,17173,4863
Plan 9 from Outer Space,1957,males,3.9,2901,640,1024,1358,1775,2523,2846,2992,3357,5997,3.9,2.1,3.8,3.9,4.0,25413,6,2641,14414,7701
Book of Shadows: Blair Witch 2,2000,males,4.0,864,429,1008,1813,2725,3419,3803,3466,3077,3720,4.0,4.8,3.6,4.0,4.2,24324,4,1903,16574,5085
One Missed Call,2008,males,3.9,920,252,540,1152,2037,3068,3317,2862,2324,3749,3.9,3.0,4.0,3.8,4.2,20221,2,3226,13269,3219
Jason Goes to Hell: The Final Friday,1993,males,4.2,1099,344,769,1554,2456,3542,3910,2799,2221,2294,4.2,3.6,3.8,4.3,4.4,20988,19,2910,13162,3994
Shark Night,2011,males,4.0,819,174,436,997,1960,3159,3390,2944,2233,2209,4.0,3.5,4.0,3.9,4.1,18321,5,3130,10982,3476
Boogeyman,2005,males,4.1,704,226,654,1225,2182,3405,3594,2994,2132,2392,4.1,7.0,4.1,4.0,4.4,19508,1,2100,12982,3976
The Devil Inside,2012,males,4.1,1069,361,919,1643,2785,3749,3516,2854,2410,3754,4.1,3.0,3.9,4.1,4.4,23060,3,4598,13668,3691
Ouija,2014,males,4.4,1008,308,779,2049,4173,6267,5563,3672,2255,2288,4.4,3.7,4.3,4.3,4.6,28362,19,6755,14832,4439
Cell,2016,males,4.4,403,137,454,1085,2565,3864,3547,2389,1492,1613,4.4,4.1,4.1,4.3,4.5,17549,6,1905,9271,5057
Jason X,2001,males,4.4,1992,673,1691,3421,5137,6321,6024,4710,3586,4141,4.4,4.3,4.3,4.3,4.8,37696,19,4862,24478,6942
The Human Centipede (First Sequence),2009,males,4.5,2178,984,2664,5040,7396,8055,6783,5333,4224,7723,4.5,3.9,4.1,4.5,4.7,50380,23,10775,30215,7205
Death Note,2017,males,4.6,1524,750,2061,4447,7065,7202,5737,4801,3776,8510,4.6,3.4,4.0,4.7,5.3,45873,73,14203,21913,4131
I Still Know What You Did Last Summer,1998,males,4.6,1675,631,1546,3510,6867,10430,8764,5265,3199,2558,4.6,5.5,5.0,4.6,4.6,44445,12,4433,30749,7604
Anacondas: The Hunt for the Blood Orchid,2004,males,4.6,864,257,736,1848,3361,4585,3887,2506,1478,1476,4.6,5.0,5.0,4.5,4.5,20998,6,3822,12746,3613
Friday the 13th: A New Beginning,1985,males,4.8,1377,394,1037,2280,3820,5548,4423,2674,1595,1421,4.8,4.6,4.8,4.8,4.7,24569,24,3596,14645,5213
Anaconda,1997,males,4.8,2067,810,2552,6679,12205,14943,11917,7669,4814,3699,4.8,4.9,5.0,4.7,4.7,67355,14,8554,44342,11790
Halloween: The Curse of Michael Myers,1995,males,4.8,1343,369,1008,2007,3736,5122,3819,2394,1449,1358,4.8,3.7,4.5,4.8,4.8,22605,16,3433,13921,4152
Seed of Chucky,2004,males,4.8,1865,521,1325,2596,4465,5732,4519,2855,1723,1920,4.8,4.7,4.8,4.8,5.1,27521,27,5020,17223,4089
Leprechaun,1993,males,4.8,1153,270,789,1567,2701,3425,2843,1954,1192,1136,4.8,5.0,4.8,4.9,4.4,17030,8,1934,11086,3343
The Unborn,2009,males,4.7,1306,490,1231,2920,5624,7526,5713,3490,2212,2088,4.7,5.0,4.9,4.7,4.7,32600,4,4972,21492,5171
The Woman in Black 2: Angel of Death,2014,males,4.8,572,184,520,1411,2949,4106,3006,1556,836,767,4.8,6.0,4.9,4.8,4.8,15907,3,3894,8070,2805
Halloween II,2009,males,4.8,2469,1031,2280,3733,5401,6312,4830,3416,2606,4158,4.8,5.1,4.7,4.9,4.7,36236,11,5628,22749,6105
Meet the Blacks,2016,males,3.8,267,45,130,305,639,790,801,669,599,1049,3.8,3.1,4.0,3.7,3.6,5294,5,1156,2672,1002
Texas Chainsaw,2013,males,4.8,1905,599,1455,3121,5415,6825,4861,3249,2255,2786,4.8,4.5,4.7,4.7,5.0,32471,17,7520,18323,4390
The Forest,2016,males,4.8,518,207,689,2009,4364,5735,4269,2452,1286,988,4.8,4.6,4.7,4.7,4.9,22517,6,4712,12323,3833
Freddy's Dead: The Final Nightmare,1991,males,4.8,1512,470,1249,2745,4861,6764,5149,3037,1888,1619,4.8,4.3,4.6,4.9,4.7,29294,18,3872,18555,5578
Ghosts of Mars,2001,males,4.9,1635,665,2060,4399,6859,8214,6339,4057,2525,2260,4.9,6.0,5.0,4.8,5.0,39013,5,2196,24458,11064
Poltergeist,2015,males,4.9,1152,384,1222,3333,6854,8710,5650,3392,1984,2180,4.9,3.6,4.9,4.9,4.9,34861,15,6815,19050,6547
Valentine,2001,males,4.7,810,281,692,1443,2392,3268,2573,1755,1109,1008,4.7,7.7,5.2,4.7,4.6,15331,3,1369,10277,3201
The Darkest Hour,2011,males,4.9,1728,676,1844,4525,8638,9933,7023,4564,2705,2688,4.9,4.2,4.9,4.8,5.1,44324,6,6402,26700,9382
Fantasy Island,2020,males,4.9,604,268,946,2657,5031,5421,3657,2400,1551,1389,4.9,4.0,4.7,4.9,5.0,23924,35,4191,12221,5286
Vanishing on 7th Street,2010,males,4.9,736,310,820,1861,3391,4276,3128,1785,1207,1276,4.9,7.0,5.1,4.8,4.9,18790,1,1896,12154,4217
Virus,1999,males,5.0,635,302,933,2186,3782,4404,3267,1987,1170,980,5.0,6.5,5.2,5.0,4.9,19646,2,857,11960,6219
Cursed,2005,males,4.9,949,331,884,2135,3682,4557,3229,2070,1152,1233,4.9,4.0,5.2,4.8,5.1,20222,1,1451,12945,5247
