Name,Year,Rate,Genre,Country
Vivarium,2019,5.8,"Comedy,Horror,Mystery,Sci-Fi",Ireland
Morgan,2016,5.8,"Action,Horror,Sci-Fi,Thriller",United States
Eli,2019,5.8,"Drama,Horror,Mystery,Thriller",United States
Escape Room: Tournament of Champions,2021,5.8,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",United States
The Meg,2018,5.6,"Action,Horror,Sci-Fi,Thriller",United States
Jigsaw,2017,5.8,"Crime,Horror,Mystery,Thriller",United States
Curse of Chucky,2013,5.6,"Horror,Thriller",United States
A Nightmare on Elm Street 4: The Dream Master,1988,5.7,Horror,United States
Friday the 13th Part III,1982,5.7,"Horror,Thriller",United States
I Spit on Your Grave,1978,5.7,"Horror,Thriller",United States
Ma,2019,5.6,"Horror,Mystery,Thriller",Japan
I Know What You Did Last Summer,1997,5.7,"Horror,Mystery",United States
Poltergeist II: The Other Side,1986,5.7,Horror,United States
Freddy vs. Jason,2003,5.7,"Action,Horror",Canada
Buffy the Vampire Slayer,1992,5.7,"Action,Comedy,Fantasy,Horror",United States
Lake Placid,1999,5.7,"Action,Comedy,Horror",United States
Open Water,2003,5.7,"Adventure,Drama,Horror,Thriller",United States
Priest,2011,5.7,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",United States
Teeth,2007,5.4,"Action,Comedy,Fantasy,Horror,Mystery,Romance,Thriller",United States
Countdown,2019,5.4,"Horror,Thriller",United States
Hatchet,2006,5.7,"Comedy,Horror,Thriller",United States
My Bloody Valentine,2009,5.4,"Horror,Mystery,Thriller",United States
Resident Evil: Retribution,2012,5.4,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany
The Mummy,2017,5.4,"Action,Adventure,Fantasy,Horror,Thriller",United States
Pet Sematary,2019,5.7,"Horror,Mystery,Thriller",United States
Annabelle,2014,5.4,"Horror,Mystery,Thriller",United States
Hellraiser III: Hell on Earth,1992,5.5,Horror,United States
Gretel & Hansel,2020,5.4,"Fantasy,Horror,Mystery,Thriller",United States
A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.5,Horror,United States
Maximum Overdrive,1986,5.5,"Action,Comedy,Horror,Sci-Fi",United States
Bride of Chucky,1998,5.5,"Comedy,Horror,Thriller",United States
Dreamcatcher,2003,5.5,"Drama,Horror,Sci-Fi,Thriller",United States
See No Evil,2006,5.1,"Action,Horror,Thriller",United States
Stay Alive,2006,5.1,"Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States
When a Stranger Calls,2006,5.1,"Horror,Thriller",United States
Spawn,1997,5.2,"Action,Drama,Horror",United States
An American Haunting,2005,5.1,"Drama,History,Horror,Mystery,Thriller",United Kingdom
Club Dread,2004,5.7,"Comedy,Horror,Mystery,Thriller",United States
Scooby-Doo 2: Monsters Unleashed,2004,5.2,"Animation,Adventure,Comedy,Family,Fantasy,Horror,Mystery,Sci-Fi",United States
The Hills Have Eyes 2,2007,5.1,"Horror,Thriller",United States
The Grudge 2,2006,5.1,"Horror,Thriller",United States
Doom,2005,5.2,"Action,Horror,Sci-Fi",United Kingdom
The Cave,2005,5.2,"Action,Adventure,Horror,Sci-Fi,Thriller",United States
The Final Destination,2009,5.2,"Action,Horror,Thriller",United States
Shutter,2008,5.2,"Horror,Mystery,Thriller",United States
In the Tall Grass,2019,5.4,"Horror,Mystery,Sci-Fi,Thriller",Canada
The Island of Dr. Moreau,1996,4.6,"Horror,Sci-Fi,Thriller",United States
Friday the 13th Part VIII: Jason Takes Manhattan,1989,4.6,"Adventure,Horror,Thriller",Canada
Rings,2017,4.5,"Drama,Horror,Mystery,Romance",United States
Black Christmas,2006,4.6,Horror,Canada
Ouija,2014,4.5,"Horror,Mystery,Thriller",United States
Psycho,1998,4.6,"Horror,Mystery,Thriller",United States
Aliens vs. Predator: Requiem,2007,4.6,"Action,Horror,Sci-Fi,Thriller",United States
Paranormal Activity: The Ghost Dimension,2015,4.6,"Horror,Mystery",United States
Leprechaun,1993,4.8,"Comedy,Fantasy,Horror",United States
Paranormal Activity 4,2012,4.6,"Horror,Mystery",United States
Anacondas: The Hunt for the Blood Orchid,2004,4.7,"Action,Adventure,Horror,Thriller",United States
House of the Dead,2003,2.1,"Action,Adventure,Horror",Germany
I Still Know What You Did Last Summer,1998,4.7,"Horror,Mystery",United States
Manos: The Hands of Fate,1966,1.8,Horror,United States
Friday the 13th: A New Beginning,1985,4.8,"Horror,Mystery,Thriller",United States
Alone in the Dark,2005,2.4,"Action,Horror,Sci-Fi",Canada
Troll 2,1990,3.0,"Comedy,Fantasy,Horror",Italy
