Name,Year,Rating,User_Type,vote10,vote9,vote8,vote7,vote6,vote5,vote4,vote3,vote2,vote1
The Woman in Black 2: Angel of Death,2014,4.8,IMDb Users,1151,440,1094,2646,5069,6764,4951,2681,1485,1369
Texas Chainsaw,2013,4.8,IMDb Users,3253,984,2330,4692,7925,9861,7015,4697,3285,4157
Meet the Blacks,2016,4.8,IMDb Users,12643,9765,3042,1159,1532,1753,1708,1521,1409,1725
Freddy's Dead: The Final Nightmare,1991,4.9,IMDb Users,2829,808,2053,4235,7410,10070,7539,4502,2818,2502
Fantasy Island,2020,4.9,IMDb Users,1459,692,2174,5273,9118,9636,6495,4211,2844,2854
Ghosts of Mars,2001,4.9,IMDb Users,2401,1002,2875,6006,9366,11098,8518,5447,3492,3255
Dracula 2000,2000,4.9,IMDb Users,1820,775,1831,3625,5834,7026,5263,3274,1944,1925
The Darkest Hour,2011,4.9,IMDb Users,2670,1053,2775,6368,11573,13113,9210,6121,3617,3701
Halloween III: Season of the Witch,1982,5.0,IMDb Users,3948,1621,3857,6234,7153,7142,5851,4812,3895,5699
Valentine,2001,4.9,IMDb Users,2758,574,1383,2609,4235,5317,4198,2793,1781,1696
Poltergeist,2015,4.9,IMDb Users,2311,783,2348,5589,10801,13561,8965,5509,3366,3865
The Haunting,1999,5.0,IMDb Users,2864,1526,3936,8266,13757,16335,11700,7299,4678,4389
Cursed,2005,5.0,IMDb Users,1837,646,1613,3614,5850,7078,4785,3068,1758,1851
The Happening,2008,5.0,IMDb Users,7784,4444,12250,26210,38105,37147,25797,18781,14295,17856
Virus,1999,5.0,IMDb Users,937,425,1334,3027,5221,6125,4538,2904,1676,1532
A Serbian Film,2010,5.0,IMDb Users,5449,2824,5818,8361,8609,7529,4975,3673,3179,11131
Vanishing on 7th Street,2010,4.9,IMDb Users,1113,475,1221,2584,4621,5787,4141,2423,1663,1829
Darkness Falls,2003,5.0,IMDb Users,1746,728,1900,3530,5580,6448,4566,2908,1959,1972
A Haunted House,2013,5.0,IMDb Users,4679,1509,3291,5680,7650,7874,5112,3717,2681,3567
Paranormal Activity: The Marked Ones,2014,5.0,IMDb Users,2176,948,2405,5063,7616,8680,5752,3508,2240,3381
Blair Witch,2016,5.0,IMDb Users,1340,807,2470,5465,8583,9273,6403,3971,2665,3164
Chernobyl Diaries,2012,5.0,IMDb Users,2909,1219,3352,7724,13172,14478,9760,5938,3451,3481
Silent Hill: Revelation,2012,5.0,IMDb Users,4787,1485,3484,6732,11223,12777,8511,5662,3711,3974
Halloween 5: The Revenge of Michael Myers,1989,5.1,IMDb Users,2593,750,1949,4182,7369,9770,6200,3382,1823,1526
[REC] 3: Genesis,2012,5.0,IMDb Users,1474,700,1853,3937,6499,7292,4874,3349,2109,2567
Child's Play 3,1991,5.1,IMDb Users,2810,766,1971,4401,7454,9494,5883,3356,1734,1514
A Nightmare on Elm Street 5: The Dream Child,1989,5.1,IMDb Users,2424,732,2006,4676,8587,11740,7113,3608,1796,1387
Exorcist: The Beginning,2004,5.1,IMDb Users,1502,670,1994,4448,7583,8420,5100,3097,1620,1878
When a Stranger Calls,2006,5.1,IMDb Users,3031,1145,2819,5502,8375,8942,5575,3760,2598,3426
Stay Alive,2006,5.1,IMDb Users,3179,983,2012,3733,5327,5589,4061,2681,1902,2320
See No Evil,2006,5.1,IMDb Users,2175,633,1479,3004,4995,5823,3531,2165,1403,1644
Spawn,1997,5.2,IMDb Users,4292,1623,4250,9160,13463,13242,8375,5310,3379,3681
Scooby-Doo 2: Monsters Unleashed,2004,5.2,IMDb Users,5035,1392,3177,6412,9680,11562,7417,4362,2706,2534
The Hills Have Eyes 2,2007,5.1,IMDb Users,3241,1212,3312,7496,13269,14620,8562,4960,2946,3362
A Nightmare on Elm Street,2010,5.2,IMDb Users,5566,2450,6314,12902,20135,20034,11728,7379,4729,6259
The Cave,2005,5.2,IMDb Users,1465,654,1912,4589,7961,9186,5461,3143,1685,1706
