Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
I Spit on Your Grave 2,2013,5.7,4.6,5.7,5.6,5.6,28900,7,5068,12785,3968
Regression,2015,5.7,4.6,5.9,5.6,5.6,38880,7,5453,17009,5980
House of Wax,2005,5.4,6.7,5.6,5.3,5.3,121009,21,19490,63419,11794
Velvet Buzzsaw,2019,5.7,4.8,5.6,5.7,5.8,58425,20,10985,21839,5925
Insidious: The Last Key,2018,5.7,5.9,5.7,5.7,5.8,57427,62,11747,19389,4898
Jaws 2,1978,5.8,5.4,5.6,5.7,5.8,75927,40,6724,31521,17263
Cannibal Holocaust,1980,5.8,4.4,5.7,5.9,5.7,53733,23,7101,27226,6871
Child's Play,2019,5.7,5.5,5.8,5.7,5.7,49546,63,7548,19022,4713
Species,1995,5.8,5,5.6,5.8,6,78481,4,3802,39070,17858
Thinner,1996,5.8,5.3,5.8,5.8,5.7,29839,5,1894,14682,6165
The Relic,1997,5.8,6,5.7,5.7,5.8,26681,3,842,11859,7002
Halloween 4: The Return of Michael Myers,1988,5.8,5.6,5.8,5.9,5.6,49668,29,5736,21999,7329
Halloween H20: 20 Years Later,1998,5.8,6,6,5.7,5.8,71925,27,6335,35135,10474
Gothika,2003,5.8,6.1,6,5.8,5.8,110980,6,9809,60677,17024
End of Days,1999,5.8,5.8,5.9,5.8,5.7,108698,6,4362,56853,21119
Hollow Man,2000,5.8,5.4,5.9,5.8,5.8,128308,13,9181,67698,21973
Blade: Trinity,2004,5.8,4.6,6,5.8,6,172181,26,20083,90982,21143
The Texas Chainsaw Massacre: The Beginning,2006,5.8,4.7,5.9,5.8,5.8,70411,22,9711,37978,8088
Final Destination 3,2006,5.8,5.9,5.9,5.7,5.9,137138,54,25267,67625,12547
Cry Wolf,2005,5.8,4.7,6.1,5.8,5.6,26957,6,3017,15461,3664
The Wolfman,2010,5.8,5.4,5.8,5.8,6,105393,12,11492,60758,16531
Black Sheep,2006,5.8,5.2,5.5,5.8,6,40222,4,4177,23272,6275
The Descent: Part 2,2009,5.8,4.9,5.7,5.8,5.8,46236,12,6291,23407,6508
Army of the Dead,2021,5.7,6.2,5.8,5.7,5.7,156813,177,21033,52122,14864
Old,2021,5.8,5.6,5.8,5.8,5.9,73809,113,10188,24253,8006
The Babysitter: Killer Queen,2020,5.8,5.3,5.8,5.7,5.9,34765,86,5734,11179,2803
Escape Room: Tournament of Champions,2021,5.8,6.7,5.9,5.7,5.6,29990,84,4784,9952,2479
Vivarium,2019,5.8,6.3,5.9,5.9,5.7,49841,40,6940,18316,6421
"Salò, or the 120 Days of Sodom",1975,5.9,7,6,5.9,5.8,57777,33,8819,26728,8021
Child's Play 2,1990,5.9,6.4,6,5.9,5.4,49390,48,6726,23998,5388
Dracula: Dead and Loving It,1995,5.9,7.1,6.3,5.9,5.3,40786,7,3475,22179,5899
The Brothers Grimm,2005,5.9,5.3,6,5.9,5.9,119281,9,13258,62685,18914
King Kong,1976,5.9,6,5.6,5.9,6,31763,4,1823,10500,11130
The Possession,2012,5.9,5,5.9,5.8,6,59211,9,10287,28671,8028
Friend Request,2016,5.3,3.9,5.2,5.2,5.4,25631,15,5022,9303,2639
The X Files: I Want to Believe,2008,5.9,7,6,5.9,6,90499,2,5081,52684,17056
The Grudge,2004,5.9,5.1,5.9,5.8,6,142557,21,20094,72735,16919
P2,2007,5.9,6.7,6,5.8,5.9,33396,3,3687,18199,5373
The Haunting in Connecticut,2009,5.9,4.6,6.1,5.8,5.8,61252,6,10231,31260,8010
Quarantine,2008,5.9,5.5,5.9,6,6,72428,20,9738,39060,10147
Hostel,2005,5.9,5.7,5.8,5.9,5.9,175787,38,19866,97081,21136
The Ruins,2008,5.9,5.8,5.9,5.8,5.9,73755,7,7492,41249,11886
The Fourth Kind,2009,5.9,8,6,6,5.6,76504,4,10015,42534,10975
The Mortal Instruments: City of Bones,2013,5.9,5.4,6.2,5.6,5.8,130946,28,31963,49010,12069
Saw IV,2007,5.9,6.1,6,5.8,5.7,146854,76,25934,76640,10974
