Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
A Nightmare on Elm Street,2010,5.2,4.7,5.5,5.2,5,97529,28,17949,49614,10098
The Final Destination,2009,5.2,4.9,5.3,5.1,5.4,102147,46,20150,50288,9528
Sorority Row,2009,5.2,7.8,5.4,5.1,5,30200,8,5056,15781,3869
The Mummy: Tomb of the Dragon Emperor,2008,5.2,4.9,5.3,5.1,5.5,156631,27,25341,77078,18552
Apollo 18,2011,5.2,3.4,5.1,5.2,5.3,55133,7,6647,29401,10899
The Lords of Salem,2012,5.2,6,5.4,5.1,5,29450,2,3261,14615,4910
Flatliners,2017,5.2,5.4,5.4,5.2,5.2,45510,22,7589,17189,5715
Hellboy,2019,5.2,5,5.1,5.2,5.4,85440,65,11835,32970,10496
The Strangers: Prey at Night,2018,5.2,5.3,5.2,5.2,5.2,29800,23,4993,10969,3284
The Lazarus Effect,2015,5.2,4.2,5.2,5.1,5.2,42515,8,7113,19023,5851
Friday the 13th Part VII: The New Blood,1988,5.3,5.3,5.2,5.3,5.2,35771,31,3956,15918,5529
The First Purge,2018,5.2,5.2,5.3,5.1,5,61002,69,11400,21213,5906
Truth or Dare,2018,5.2,4.6,5.2,5.2,5.2,52594,89,11397,16099,4324
The Stepford Wives,2004,5.3,2.7,5.7,5.3,5.2,64610,5,4857,31694,13375
Queen of the Damned,2002,5.3,4.5,5.8,5.3,5.1,54814,4,4248,29948,8438
The Covenant,2006,5.3,4.9,5.6,5.2,5.2,48579,6,6109,26701,6659
The Witches,2020,5.3,5.4,5.2,5.3,5.6,35400,32,4356,12911,3913
Spiral,2021,5.3,5.7,5.2,5.2,5.3,41699,73,6345,14254,3810
Things Heard & Seen,2021,5.3,4.5,5.3,5.2,5.4,28003,18,3355,9786,3792
Legion,2010,5.3,5,5.4,5.1,5.4,103126,10,13367,54808,15669
The Green Inferno,2013,5.3,4.4,5.2,5.4,5.4,42464,21,6269,18260,5905
The Resident,2011,5.3,6,5.3,5.2,5.4,27513,1,2883,14957,5441
Sinister 2,2015,5.3,4.3,5.4,5.2,5.3,52361,19,11412,18609,4652
Tusk,2014,5.3,5.9,5.3,5.4,5.2,50204,17,7341,23289,6519
The New Mutants,2020,5.3,5,5.3,5.3,5.4,69615,103,10110,23452,7516
The Curse of La Llorona,2019,5.3,4.8,5.2,5.2,5.4,46607,68,8402,15511,4670
The Lawnmower Man,1992,5.4,5.5,5.1,5.5,5.4,35399,2,965,15923,10087
The Silence,2019,5.3,4.6,5.1,5.3,5.5,42593,59,5888,15388,5841
The Nun,2018,5.3,5.4,5.3,5.3,5.4,132432,197,28012,40648,9849
Eight Legged Freaks,2002,5.4,5.1,5.5,5.3,5.8,56178,14,5600,27480,10269
The Messengers,2007,5.4,7,5.5,5.3,5.5,39391,1,5216,20910,6341
The Eye,2008,5.4,6.7,5.5,5.3,5.4,52947,5,7541,29460,6660
Turistas,2006,5.4,4.5,5.5,5.4,5.4,37947,2,3227,21348,6783
White Noise,2005,5.5,5,5.4,5.5,5.6,48511,3,2912,27162,9057
Piranha 3D,2010,5.4,3.9,5.2,5.5,5.5,88750,18,13900,47441,12305
The Omen,2006,5.5,4.7,5.6,5.5,5.6,58350,12,5911,32341,9098
All the Boys Love Mandy Lane,2006,5.5,9,5.4,5.5,5.5,32400,1,3740,17943,5029
Hostel: Part II,2007,5.5,5.5,5.5,5.4,5.5,88503,18,10244,49643,10904
Friday the 13th,2009,5.5,5.1,5.5,5.5,5.4,103989,51,17357,50617,11321
Winchester,2018,5.5,5.4,5.3,5.4,5.7,32987,24,4597,12234,5462
The Innkeepers,2011,5.5,5,5.4,5.5,5.4,34079,2,3522,18916,6093
Red Riding Hood,2011,5.5,4.6,5.8,5.3,5.4,110580,11,22770,53014,13120
The Last Days on Mars,2013,5.5,6.5,5.6,5.5,5.5,36604,2,2698,18801,8458
Vampire Academy,2014,5.5,7.4,5.8,5.3,5.2,53629,10,14586,19302,4375
Resident Evil: The Final Chapter,2016,5.5,5.5,5.6,5.4,5.7,89789,30,14162,37886,9392
The Cloverfield Paradox,2018,5.5,5.3,5.5,5.6,5.6,101223,33,14722,41753,12705
The Dead Don't Die,2019,5.5,5.4,5.5,5.4,5.5,72364,45,9156,27948,10758
Unfriended,2014,5.5,5,5.6,5.6,5.4,73232,56,17940,26483,6147
Peninsula,2020,5.5,5.3,5.5,5.4,5.6,29335,53,4486,10146,3295
Children of the Corn,1984,5.6,6.3,5.6,5.6,5.6,50780,9,5298,22929,9786
The Texas Chainsaw Massacre 2,1986,5.6,5.9,5.6,5.5,5.6,30751,16,3352,13453,5488
Village of the Damned,1995,5.6,6,5.7,5.7,5.6,30964,2,1926,15044,7066
Scream 3,2000,5.6,5.9,5.9,5.5,5.6,131386,64,16700,65347,14352
Urban Legend,1998,5.6,5.7,5.8,5.5,5.5,64423,16,4889,34690,9071
House on Haunted Hill,1999,5.6,4.8,5.6,5.6,5.6,55817,5,3298,29722,9518
Thir13en Ghosts,2001,5.6,4.7,5.7,5.6,5.7,85079,16,8186,45111,11883
Cube²: Hypercube,2002,5.6,5.7,5.4,5.6,5.6,65975,13,6583,37358,8169
Jeepers Creepers 2,2003,5.6,4.7,5.7,5.5,5.8,62565,13,7530,31168,8941
Cabin Fever,2002,5.6,5.3,5.7,5.6,5.5,76542,10,7154,40668,11787
Alien vs. Predator,2004,5.6,5,5.7,5.5,5.8,192176,46,20920,96268,27183
Creep,2004,5.6,6,5.6,5.6,5.6,29350,1,2869,15595,5091
The Bad Batch,2016,5.3,3.6,5.5,5.3,5,29675,9,3769,12514,4395
Dark Water,2005,5.6,4.6,5.7,5.5,5.7,61532,5,5048,30777,10353
Jennifer's Body,2009,5.3,6,5.4,5.2,5.4,127992,46,24531,61520,12852
I Spit on Your Grave,1978,5.7,5.5,5.7,5.7,5.7,27665,6,2584,12942,5902
Diary of the Dead,2007,5.6,4.4,5.5,5.6,5.7,47065,8,3725,27557,7951
Halloween Kills,2021,5.6,6.1,5.6,5.6,5.5,59919,59,7763,18550,6069
Don't Be Afraid of the Dark,2010,5.6,5.8,5.6,5.5,5.6,48123,4,6504,26790,7705
The Ward,2010,5.6,5.3,5.8,5.5,5.6,41853,3,5453,22553,7098
Saw: The Final Chapter,2010,5.6,5.7,5.7,5.5,5.5,95912,66,21339,45930,6947
Maggie,2015,5.6,5.3,5.6,5.6,5.7,43650,9,4211,21334,8159
Open Water,2003,5.7,5.6,5.4,5.6,6.1,52892,10,3804,25608,11510
Priest,2011,5.7,4.6,5.9,5.7,5.9,118389,9,16503,64607,17567
House at the End of the Street,2012,5.6,4.6,5.7,5.5,5.6,75747,11,14602,34047,9295
Pet Sematary,2019,5.7,5.7,5.7,5.6,5.7,89292,78,14894,33067,9379
Hatchet,2006,5.7,5,5.7,5.7,5.6,30478,3,2976,16422,4993
The Ring Two,2005,5.4,5.8,5.6,5.4,5.3,94420,16,13800,48232,10180
The Rental,2020,5.7,6.5,5.7,5.7,5.6,25489,11,3285,10112,3568
Splice,2009,5.7,5.1,5.6,5.7,5.9,96042,15,11106,54116,14947
The Last Exorcism,2010,5.7,5.8,5.6,5.6,5.7,49363,4,7161,26718,7326
Would You Rather,2012,5.7,5.5,5.7,5.7,5.7,40198,23,8684,16366,4123
The Bay,2012,5.7,4.8,5.8,5.6,5.7,26943,8,3088,13290,5171
Paranormal Activity 2,2010,5.7,5.8,5.5,5.7,5.7,102053,34,20434,52275,9500
Cooties,2014,5.7,5.5,5.7,5.7,5.6,25240,12,3560,11873,3539
47 Meters Down,2017,5.7,4.8,5.6,5.6,5.7,52677,31,7781,19789,7015
